2011-11-24 20:06:41 Debug: Notice (8): Undefined property: UsersController::$Role in [E:\wamp\www\website\discoverycast\app\controllers\users_controller.php, line 80]
2011-11-24 20:09:56 Debug: Notice (8): Undefined index:  role in [E:\wamp\www\website\discoverycast\app\controllers\users_controller.php, line 83]
2011-11-24 20:10:16 Debug: Notice (8): Undefined index:  role in [E:\wamp\www\website\discoverycast\app\controllers\users_controller.php, line 83]
2011-11-24 20:10:34 Debug: Notice (8): Undefined index:  role in [E:\wamp\www\website\discoverycast\app\controllers\users_controller.php, line 83]
2011-11-24 20:13:13 Debug: Notice (8): Undefined index:  name in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 26]
2011-11-24 20:13:13 Debug: Notice (8): Undefined index:  date_from in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 29]
2011-11-24 20:13:13 Debug: Notice (8): Undefined index:  organization_name in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 33]
2011-11-24 20:13:13 Debug: Notice (8): Undefined index:  date_to in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 36]
2011-11-24 20:13:13 Debug: Notice (8): Undefined index:  contact_name in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 40]
2011-11-24 20:13:13 Debug: Notice (8): Undefined index:  time_from in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 43]
2011-11-24 20:13:13 Debug: Notice (8): Undefined index:  contact_email in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 47]
2011-11-24 20:13:13 Debug: Notice (8): Undefined index:  time_to in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 50]
2011-11-24 20:13:13 Debug: Notice (8): Undefined index:  mobile in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 54]
2011-11-24 20:13:13 Debug: Notice (8): Undefined index:  phone in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 61]
2011-11-24 20:13:38 Debug: Notice (8): Undefined index:  name in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 26]
2011-11-24 20:13:38 Debug: Notice (8): Undefined index:  date_from in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 29]
2011-11-24 20:13:38 Debug: Notice (8): Undefined index:  organization_name in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 33]
2011-11-24 20:13:38 Debug: Notice (8): Undefined index:  date_to in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 36]
2011-11-24 20:13:38 Debug: Notice (8): Undefined index:  contact_name in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 40]
2011-11-24 20:13:38 Debug: Notice (8): Undefined index:  time_from in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 43]
2011-11-24 20:13:38 Debug: Notice (8): Undefined index:  contact_email in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 47]
2011-11-24 20:13:38 Debug: Notice (8): Undefined index:  time_to in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 50]
2011-11-24 20:13:38 Debug: Notice (8): Undefined index:  mobile in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 54]
2011-11-24 20:13:38 Debug: Notice (8): Undefined index:  phone in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 61]
2011-11-24 20:13:47 Debug: Notice (8): Undefined index:  name in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 26]
2011-11-24 20:13:47 Debug: Notice (8): Undefined index:  date_from in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 29]
2011-11-24 20:13:47 Debug: Notice (8): Undefined index:  organization_name in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 33]
2011-11-24 20:13:47 Debug: Notice (8): Undefined index:  date_to in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 36]
2011-11-24 20:13:47 Debug: Notice (8): Undefined index:  contact_name in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 40]
2011-11-24 20:13:47 Debug: Notice (8): Undefined index:  time_from in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 43]
2011-11-24 20:13:47 Debug: Notice (8): Undefined index:  contact_email in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 47]
2011-11-24 20:13:47 Debug: Notice (8): Undefined index:  time_to in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 50]
2011-11-24 20:13:47 Debug: Notice (8): Undefined index:  mobile in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 54]
2011-11-24 20:13:47 Debug: Notice (8): Undefined index:  phone in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 61]
2011-11-24 20:14:15 Debug: Notice (8): Undefined index:  name in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 26]
2011-11-24 20:14:15 Debug: Notice (8): Undefined index:  date_from in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 29]
2011-11-24 20:14:15 Debug: Notice (8): Undefined index:  organization_name in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 33]
2011-11-24 20:14:15 Debug: Notice (8): Undefined index:  date_to in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 36]
2011-11-24 20:14:15 Debug: Notice (8): Undefined index:  contact_name in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 40]
2011-11-24 20:14:15 Debug: Notice (8): Undefined index:  time_from in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 43]
2011-11-24 20:14:15 Debug: Notice (8): Undefined index:  contact_email in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 47]
2011-11-24 20:14:15 Debug: Notice (8): Undefined index:  time_to in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 50]
2011-11-24 20:14:15 Debug: Notice (8): Undefined index:  mobile in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 54]
2011-11-24 20:14:15 Debug: Notice (8): Undefined index:  phone in [E:\wamp\www\website\discoverycast\app\views\sitedetails\admin_view.ctp, line 61]
2011-11-25 03:52:14 Debug: Notice (8): Undefined index:  blog in [E:\wamp\www\website\discoverycast\app\views\home\home.ctp, line 8]
2011-11-25 04:04:13 Debug: Notice (8): Undefined index:  dc_quick_tips  in [E:\wamp\www\website\discoverycast\app\views\home\home.ctp, line 51]
2011-11-27 15:27:39 Debug: Notice (8): Array to string conversion in [E:\wamp\www\website\discoverycast\cake\libs\model\datasources\dbo_source.php, line 749]
2011-11-27 15:32:20 Debug: Notice (8): Array to string conversion in [E:\wamp\www\website\discoverycast\cake\libs\model\datasources\dbo_source.php, line 749]
2011-11-27 15:37:44 Debug: Notice (8): Undefined index:  Sitedetail in [E:\wamp\www\website\discoverycast\app\controllers\events_controller.php, line 143]
2011-11-27 15:37:44 Debug: Notice (8): Undefined index:  Sitedetail in [E:\wamp\www\website\discoverycast\app\controllers\events_controller.php, line 167]
2011-11-27 16:16:56 Debug: Notice (8): Undefined variable: paginator in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 111]
2011-11-27 16:18:00 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 120]
2011-11-27 16:18:00 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 121]
2011-11-27 16:18:00 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 125]
2011-11-27 16:18:00 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 130]
2011-11-27 16:18:00 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 131]
2011-11-27 16:18:00 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 132]
2011-11-27 16:18:00 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 133]
2011-11-27 16:18:00 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 134]
2011-11-27 16:19:53 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 120]
2011-11-27 16:19:53 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 121]
2011-11-27 16:19:53 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 125]
2011-11-27 16:19:53 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 130]
2011-11-27 16:19:53 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 131]
2011-11-27 16:19:53 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 132]
2011-11-27 16:19:53 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 133]
2011-11-27 16:19:53 Debug: Notice (8): Undefined index:  Question in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 134]
2011-11-27 16:23:57 Debug: Notice (8): Undefined variable: tableHeaders in [E:\wamp\www\website\discoverycast\app\views\events\admin_view.ctp, line 129]
2011-11-29 18:29:56 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\controllers\users_controller.php, line 92]
2011-11-29 18:47:28 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\controllers\users_controller.php, line 91]
2011-11-29 18:47:28 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\views\elements\email\text\invitation.ctp, line 1]
2011-11-29 18:47:28 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\views\elements\email\text\invitation.ctp, line 17]
2011-11-29 18:47:28 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\views\elements\email\html\invitation.ctp, line 1]
2011-11-29 18:47:28 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\views\elements\email\html\invitation.ctp, line 12]
2011-11-29 18:48:32 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\controllers\users_controller.php, line 91]
2011-11-29 18:48:32 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\views\elements\email\text\invitation.ctp, line 1]
2011-11-29 18:48:32 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\views\elements\email\text\invitation.ctp, line 17]
2011-11-29 18:48:32 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\views\elements\email\html\invitation.ctp, line 1]
2011-11-29 18:48:32 Debug: Notice (8): Undefined index:  email in [E:\wamp\www\website\discoverycast\app\views\elements\email\html\invitation.ctp, line 12]
2011-11-29 20:07:20 Debug: Notice (8): Undefined variable: title_for_layout in [E:\wamp\www\website\discoverycast\app\views\users\edit.ctp, line 2]
2011-12-01 16:57:32 Debug: Notice (8): Undefined index:  name in [E:\wamp\www\website\discoverycast\app\views\home\home.ctp, line 1]
2011-12-01 17:20:51 Debug: Notice (8): Undefined property: HomeController::$User in [E:\wamp\www\website\discoverycast\app\controllers\home_controller.php, line 35]
2011-12-03 10:30:12 Debug: Notice (8): Undefined variable: price_filter_rent in [E:\wamp\www\website\discoverycast\app\config\common_vars.php, line 31]
2011-12-03 10:30:14 Debug: Notice (8): Undefined variable: price_filter_rent in [E:\wamp\www\website\discoverycast\app\config\common_vars.php, line 31]
2011-12-03 15:27:55 Debug: Notice (8): Undefined property: AvatarsController::$pdf_dest in [E:\wamp\www\website\discoverycast\app\controllers\avatars_controller.php, line 87]
2011-12-03 15:28:10 Debug: Notice (8): Undefined index:  name in [E:\wamp\www\website\discoverycast\app\views\avatars\admin_index.ctp, line 38]
2011-12-03 15:28:38 Debug: Notice (8): Undefined variable: action in [E:\wamp\www\website\discoverycast\app\views\avatars\admin_add.ctp, line 17]
2011-12-03 15:28:38 Debug: Notice (8): Undefined variable: action in [E:\wamp\www\website\discoverycast\app\views\avatars\admin_add.ctp, line 27]
2011-12-03 15:32:52 Debug: Notice (8): Undefined index:  image in [E:\wamp\www\website\discoverycast\app\controllers\avatars_controller.php, line 157]
2011-12-03 15:33:27 Debug: Notice (8): Undefined index:  image in [E:\wamp\www\website\discoverycast\app\controllers\avatars_controller.php, line 157]
2011-12-03 15:36:23 Debug: Notice (8): Undefined index:  Avatar in [E:\wamp\www\website\discoverycast\app\views\avatars\admin_index.ctp, line 40]
2011-12-03 15:37:50 Debug: Notice (8): Undefined index:  image in [E:\wamp\www\website\discoverycast\app\controllers\avatars_controller.php, line 157]
